Security Id,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
VEDL,Commodities,Metals & Mining,Diversified Metals,Diversified Metals
VOLTAMP,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
VPRPL,Industrials,Construction,Construction,Civil Construction
VMM,Consumer Discretionary,Consumer Services,Retailing,Diversified Retail
VRLLOG,Services,Services,Transport Services,Logistics Solution Provider
VSTIND,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Cigarettes & Tobacco Products,Cigarettes & Tobacco Products
VSTTILLERS,Industrials,Capital Goods,"Agricultural, Commercial & Construction Vehicles",Tractors
WAAREEENER,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment
WAAREERTL,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment
WALCHANNAG,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
WEBELSOLAR,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment
WEIZMANIND,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
WELCORP,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
WELENT,Industrials,Construction,Construction,Civil Construction
WENDT,Industrials,Capital Goods,Industrial Products,Abrasives & Bearings
WELSPUNLIV,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
VOLTAS,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances
VRAJ,Commodities,Metals & Mining,Ferrous Metals,Sponge Iron
WCIL,Services,Services,Transport Services,Logistics Solution Provider
WSTCSTPAPR,Commodities,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products
WESTLIFE,Consumer Discretionary,Consumer Services,Leisure Services,Restaurants
